ab:   abba
aimno:   ionamin, ammonia, naomi, amino
aimnor:   romanian, marino, marion, romania
aimnot:   imitation, nomination, animation
aimnotu:   ammunition, mutation, automation, mountain
aimnotv:   motivation
aimnpw:   winamp
aimnpx:   pixmania
aimnr:   marian, marin, armani, mariana, marina
aimnrt:   martini, martin
aimnrtu:   mauritania
aimnru:   uranium
aimnrv:   marvin
aimnt:   maintain
aimntu:   titanium
aimntv:   vitamin
aimor:   maori, mario
aimort:   marriott
aimp:   imap
aimpr:   prima
aimpry:   primary
aimqru:   aquarium
aimr:   mira, miriam, maria
aimrtuy:   maturity
aimrtx:   matrix
aimu:   maui
aimux:   maximum
aimx:   maxi, maxim
ain:   nina
ainop:   piano
ainoprt:   appropriation, partition
ainopt:   appoint
ainoqtu:   quotation
ainort:   irritation, rotation, ontario
ainortv:   variation
ainorv:   ovarian
ainorz:   arizona
ainot:   initiation, notation, antonio, annotation, nation
ainotv:   invitation, aviation, innovation
ainotx:   taxation
ainp:   pain
ainpt:   paint
ainqtu:   quinta
ainqtuy:   quantity
ainr:   arin, narnia, iranian, iran, rain
ainrt:   trina, intra, train
ainrtv:   invariant, variant
ainruy:   urinary
ainrv:   nirvana
ainry:   rainy
aint:   attain, anita, titan, tina, anti
aintuy:   annuity
aintv:   ativan
aintvy:   vanity
aintw:   twain, taiwan
aintz:   tanzania
ainv:   vivian, vain, avian, ivan
ainz:   nazi
aioprt:   patriot, portrait, airport
aiopt:   patio
aioptu:   utopia
aiort:   ratio
aiorw:   warrior
aiov:   vaio
aiow:   iowa
aipq:   ipaq
aipr:   pair
aiprtv:   privat
aiprty:   parity
aiprx:   pixar
aipt:   patti
aipz:   piazza, pizza
aiqr:   iraqi, iraq
air:   aria
airt:   trait, atari, rita
airtv:   trivia
airvx:   arxiv
aitv:   vita, tiava
aitw:   await, wait
aitx:   taxi
aiv:   aviv, viva
ajkrt:   jakarta
ajlmo:   joomla
ajlnoru:   journal
ajlo:   jolla
ajmor:   major
ajno:   joanna, joan
ajnort:   trojan
ajnov:   navajo
ajnp:   japan
ajnruy:   january
ajnu:   juan
ajv:   java
ajx:   ajax
ajz:   jazz
aklmnw:   walkman
aklmoz:   kalamazoo
akln:   lanka
aklnp:   kaplan
aklr:   karl
aklt:   talk
aklu:   kuala
aklw:   walk
akmpru:   markup
akmr:   karma, mark
akmru:   kumar
akno:   kona, akon
aknor:   akron
aknot:   kontakt
aknr:   rank
aknt:   tank
akortw:   artwork
akoy:   okay
akp:   kappa
akpr:   park
akprwy:   parkway
akqru:   quark
akr:   kara
akrt:   kart
akty:   katy
aktz:   katz
aky:   kayak
akz:   kazaa
al:   alla
alm:   lama, alma, mall
almnopr:   paranormal
almnor:   normal
almnory:   normally
almnoy:   anomaly
almnu:   manual
almnuy:   manually
almo:   alamo
almoprz:   alprazolam
almor:   moral
almort:   mortal, motorola
almp:   palma, lamp, palm
almr:   lamar, alarm
almrtu:   ultram
almrtw:   walmart
almt:   malta
almtu:   mutual
almtuy:   mutually
almy:   malay
aln:   allan, alan, anal
alno:   nolan, loan
alnop:   plano
alnoptu:   pollutant
alnot:   alton
alnotw:   walton
alnov:   avalon
alnp:   plan
alnpr:   planar
alnpt:   plant
alnrtu:   natural
alnrtuy:   naturally
alnru:   lunar
alnt:   natal, natl, atlanta
alntuw:   walnut
alnu:   luna, annual
alnuy:   annually
alnv:   vlan, naval
alnw:   wlan, lawn
alo:   lola
alop:   paolo, opal, palo, apollo
alopr:   polar
aloprt:   patrol, portal
alopru:   popular
aloprv:   approval
alopry:   payroll
alopt:   plato, laptop
alopu:   paulo
alor:   oral
alorty:   royalty, taylor
alory:   royal
alot:   alot, alto, total
alotuw:   outlaw
alotuy:   layout
aloty:   loyalty, totally
alov:   oval
alow:   allow
aloy:   loyola, loyal, alloy
alp:   appl
alprty:   partly
alpru:   plural
alpt:   plat
alpu:   palau, paula, paul
alpuy:   layup
alpy:   playa, paypal, apply, play
alpz:   plaza
alr:   lara
alrt:   altar
alrtu:   ultra
alrtv:   vallarta
alru:   laura, rural
alry:   rally, larry
alt:   alta, tall
altuv:   tuvalu, vault
altw:   walt
altwz:   waltz
alty:   tally
alv:   lava
alw:   wall
aly:   ally
alyz:   lazy
am:   mama
amn:   mana, mann
amno:   mona, oman
amnopr:   panorama
amnor:   norma, ramon, moran, maroon, manor, norman, roman
amnot:   ottoman, montana
amnotu:   amount
amnotuy:   autonomy
amnotxy:   taxonomy
amnoty:   anatomy
amnow:   woman
amnoz:   amazon
amnp:   panama
amnptu:   putnam
amnqtu:   quantum
amnr:   mrna
amnrtu:   truman
amnry:   myanmar
amntu:   mutant, autumn
amnu:   annum
amny:   many
amo:   momma, ammo
amor:   amor, aroma, omar, roma, armor
amort:   mortar
amortx:   maxtor
amortz:   mozart
amoru:   armour
amorw:   marrow
amory:   mayor
amot:   tomato, atom
amoy:   mayo
ampr:   param, ramp
ampt:   tampa
ampu:   puma
amr:   mara, rama
amrt:   mart
amrtu:   trauma
amrty:   marty
amruy:   murray
amrw:   warm
amrx:   marx
amry:   marry, army, mary
amt:   matt
amty:   tammy
amy:   maya
an:   anna
ano:   anon, noaa, nano
anopr:   apron
anoprt:   patron
anopt:   patton
anor:   nora, aaron
anort:   narrator, raton
anorw:   rowan, narrow
anorwy:   norway
anot:   anton, nato
anoty:   antony
anov:   avon, nova
anp:   napa
anpruw:   unwrap
anpt:   pant
anptu:   punta
anpty:   panty
anqu:   quan
anrt:   tran, rant
anrtw:   warrant
anrtwy:   warranty
anrty:   tyranny, tranny
anru:   nauru
anruwy:   runaway, runway
anrw:   warn
anry:   yarn, ryan
ant:   attn
antu:   tuna, aunt
antuv:   nunavut, vanuatu
antv:   avant
antw:   want
anty:   tanya
anuy:   yuan
anvy:   navy
anw:   wanna
anwy:   anyway
anx:   xanax
any:   nanny
aoprt:   parrot
aoprv:   vapor
aoprx:   approx
aopt:   potato
aoptuy:   payout
aoptz:   topaz
aoqtu:   quota
aort:   tarot
aorty:   rotary
aoru:   aurora
aorw:   arrow
aorz:   razor
aot:   tattoo
aotu:   auto
aotw:   ottawa
aoty:   toyota
ap:   papa
apr:   para
aprt:   pratt, trap, apart, part
aprty:   party
aprw:   warp, wrap
apry:   pray
apty:   patty
apu:   papua
aqrt:   qatar
aqrtu:   quart
aqrtuz:   quartz
aqruy:   quarry
aqu:   aqua
aquy:   quay
art:   attr, tara
artv:   avatar
arty:   tray
aru:   aura
arvy:   vary
ary:   array
arz:   razr
at:   tata
atw:   watt
atwy:   wyatt
avy:   avaya
awy:   away
bcdeilm:   climbed
bcdeilr:   credible
bcdeimr:   mcbride
bcdeino:   obedience
bcdeint:   benedict
bcdeklo:   blocked
bcdemr:   december
bcdj:   jdbc
bcdko:   docbook
bcdo:   odbc
bceh:   beech
bcehimo:   biochem
bcehiot:   biotech
bcehn:   bench
bcehoru:   brochure
bcehrtu:   butcher
bceilot:   collectible
bceily:   bicycle
bceimno:   combine
bcejot:   object
bcek:   beck
bceklor:   blocker
bceklu:   buckle
bcekluy:   buckley
bcekr:   becker
bcektu:   bucket
bceky:   becky
bcel:   celeb
bcelrx:   celebrex
bcemo:   become
bcemru:   cucumber
bcenou:   bounce
bcenoy:   beyonce
bceort:   october
bcequ:   quebec
bceru:   bruce
bcery:   bryce, cyber
bceu:   cube
bcgil:   glibc
bcgilmn:   climbing
bcgimno:   combining
bcginou:   bouncing
bchir:   birch
bchit:   bitch
bchnru:   brunch
bchnu:   bunch
bchuy:   chubby
bcikr:   brick
bciku:   buick
bcil:   libc
bcilm:   climb
bcilor:   broccoli
bcilpu:   public
bcilpuy:   publicly
bcin:   ncbi
bcinort:   contrib
bciort:   robotic
bcir:   crib
bciu:   cubic
bcklo:   block
bcklou:   bullock, lubbock
bcko:   cookbook
bckor:   brock
bcku:   buck
bclo:   bloc
bclu:   club
bcmo:   comb, combo
bco:   cobb
bcoty:   boycott
bcowy:   cowboy
bcru:   curb
bdefint:   benefited
bdefor:   bedford
bdegiln:   blending, bleeding
bdegilo:   obliged
bdegin:   bending, bedding
bdeginr:   breeding
bdeginu:   debugging
bdegir:   bridge
bdegirt:   bridget
bdeglno:   belonged
bdeglor:   goldberg
bdegoy:   goodbye
bdegru:   debugger
bdegtu:   budget
bdegu:   debug
bdehin:   behind
bdehitx:   exhibited
bdehlo:   behold
bdehort:   brotherhood, bothered
bdei:   debbie
bdeil:   edible, billed
bdeilo:   boiled
bdeilr:   bilder
bdeilru:   rebuild, builder
bdeilv:   libdevel, believed
bdeimor:   embroidered
bdeinr:   binder
bdeir:   bride, bidder
bdeiru:   buried
bdeit:   debit
bdeko:   booked
bdel:   bleed
bdeln:   blended, blend
bdelno:   blonde
bdelnr:   blender
bdelnu:   bundled, bundle
bdeloru:   boulder
bdelot:   bottled
bdelou:   doubled, double
bdelov:   beloved
bdem:   embedded
bdemnru:   numbered
bdemor:   boredom, bedroom
bdempu:   pubmed
bdemr:   remembered
bdemw:   webmd
bden:   bend
bdeno:   bonded
bdenoru:   rebound
bdenou:   bounded
bdenoy:   beyond
bdenr:   bender
bdenru:   burned, burden
bdeor:   bored, border
bdeort:   debtor
bdeorvy:   everybody
bdeorw:   borrowed
bdeox:   boxed
bder:   bred, breeder, breed
bdery:   derby
bdet:   debt
bdetu:   debut
bdeu:   dubbed
bdgilnu:   building
bdgin:   bidding, binding
bdgino:   bonding
bdginr:   birding, bridging
bdgl:   bldg
bdglou:   bulldog
bdgnruy:   burgundy
bdhiry:   hybrid
bdhlnou:   bloodhound
bdi:   ibid
bdijotu:   djibouti
bdil:   bild
bdiln:   blind
bdilnu:   dublin
bdiloy:   bodily
bdilu:   build
bdim:   imdb
bdin:   bind
bdinou:   inbound
bdinru:   burundi
bdir:   bird
bdlno:   blond
bdlo:   bold, blood
bdlowy:   bollywood
bdloy:   dolby, bloody
bdlp:   dblp
bdlv:   blvd
bdmu:   dumb
bdno:   bond
bdnotu:   outbound
bdnou:   bound
bdnoy:   nobody
bdotu:   doubt
bdoy:   boyd, body
bdry:   byrd
bduy:   buddy
bef:   beef
befginr:   briefing
befil:   belief
befilry:   briefly
befilx:   flexible
befint:   benefit
befir:   fibre, fiber, brief
befor:   before
befru:   buffer
beftu:   buffet
beghirt:   brighter
begi:   beige
begijn:   beijing
begil:   eligible
begilmu:   belgium
begiln:   negligible
begilno:   belonging
begilnv:   believing
begilrt:   gilbert
begilty:   eligibility
begimnr:   remembering
begin:   benign, begin, beginning, being
begino:   boeing
beginr:   beginner
beginrw:   brewing, webring
begint:   betting
begio:   boogie
begir:   bigger
beglmor:   bloomberg
beglno:   belong
beglo:   globe
beglor:   blogger
beglot:   goblet
beglow:   weblog
begnr:   greenberg, bergen
begnrtu:   gutenberg
begnu:   begun
begr:   berger, berg
begru:   burger
behilor:   horrible
behitx:   exhibit
behlmt:   bethlehem
behlmu:   humble
behlotu:   bluetooth
behlt:   bethel
behnotv:   beethoven
behnrt:   brethren
behort:   bother, brother
behr:   herb
behrt:   herbert
behrty:   thereby
behrw:   hebrew
behrwy:   whereby
behry:   hereby
beht:   beth
beijlu:   jubilee
beik:   bike
beikln:   belkin
beikr:   biker
beil:   billie, bible
beilmo:   mobile
beilno:   bbbonline
beilnor:   rebellion
beilnr:   berlin
beilntu:   bulletin
beiloqu:   oblique
beilor:   boiler
beilrt:   terrible
beilrtu:   rebuilt
beilrty:   terribly, liberty
beilrv:   believer
beilv:   believe
beilz:   belize
beimnw:   webmin
beimoz:   zombie
beimrt:   timber
bein:   bien, benin
beino:   bonnie
beinort:   bittorrent
beinov:   bovine
beinr:   bernie
beinrtu:   turbine, tribune
beinrty:   britney
beinru:   brunei
beinw:   newbie
beioqtu:   boutique
beior:   robbie
beiow:   bowie
beipt:   bitpipe
beirt:   bitter, tribe
beirtu:   beirut, tribute
beit:   tibet, bite
beitx:   bibtex
beiv:   vibe
bejkoux:   jukebox
beklot:   booklet
beklry:   berkeley
bekmopr:   pembroke
beknor:   broken
beknot:   notebook
beknru:   bunker
beko:   kobe, ebook
bekoprw:   powerbook
bekor:   brooke, reebok, broke, broker
bekotx:   textbook
bekru:   burke
bel:   belle, bell
belm:   embl, emblem
belmnot:   belmont
belmopr:   problem
belmrt:   trembl
belmru:   rumble, lumber
belmtu:   tumble
belno:   nobel, noble
belnty:   bentley
belopu:   pueblo
belortu:   trouble
belorw:   blower
belot:   bottle
below:   bowel, elbow, below
beloy:   boyle
belr:   rebel
belrtu:   butler
belrvy:   beverly
belt:   beetle, belt
beltu:   bullet
belu:   bubble, blue
beluv:   bellevue
belw:   blew
bely:   belly
belz:   bezel
bemnorv:   november
bemnr:   bremen
bemnru:   number
bemor:   bomber
bemory:   embryo
bempru:   bumper
bemr:   remember, member
ben:   been
beno:   boone, bone
benor:   borne
benorw:   browne, newborn
benorz:   bronze
benot:   benton
benow:   bowen
benoy:   ebony
benq:   benq
benr:   bern
benrt:   brent
benrtu:   burnett, brunette
benru:   burner
benruwy:   newbury
benry:   byrne
bent:   bnet, bent, bennett
bentw:   between
beny:   benny
benz:   benz
beopr:   probe
beoqtu:   bouquet
beor:   robe, bore
beort:   reboot, roberto, robert
beorw:   borrower
beorx:   boxer
beory:   robbery
beotuv:   bouvet
beoy:   obey
beprw:   prweb
ber:   beer
bert:   bert, brett, better
bertu:   butter
beru:   uber, rubber
beruy:   burberry, buyer
berv:   verb
berw:   brew, brewer, weber
berwy:   brewery
bery:   berry
berz:   breeze
betu:   butte, tube
bety:   betty, byte
bew:   webb
bfginu:   bufing
bfjot:   footjob
bflu:   bluff
bfu:   buff
bfuy:   buffy
bghirt:   bright
bghm:   gmbh
bghortu:   brought
bghoru:   borough
bghotu:   bought
bgikn:   biking
bgikno:   booking
bgiln:   bling, billing
bgilno:   boiling, blogging
bgilnow:   blowing, bowling
bgilnoy:   lobbying
bgilnuy:   bullying
bgiloy:   biology
bgimno:   bombing
bgino:   boing, bingo
bginopr:   probing
bginor:   boring
bginorw:   browning, borrowing
bginox:   boxing
bginr:   bringing, bring
bginru:   rubbing, burning
bgint:   biting
bgintu:   tubing
bginuy:   buying
bglo:   blog
bglor:   blogroll
bgruy:   rugby
bguy:   buggy
bhinort:   inhibitor
bhinot:   inhibition
bhint:   inhibit
bhioprt:   prohibit
bhirt:   birth
bhmtu:   thumb
bhot:   booth, both
bhoy:   hobby
bhp:   phpbb
bikln:   blink
bikn:   bikini
biko:   ibook
bikry:   kirby
biktz:   bizkit
bil:   bill
bilm:   limb
bilmo:   mobil
bilmoty:   mobility
bilno:   billion
bilnort:   bontril
bilo:   boil, biol
bilot:   libtool
bilox:   biloxi
bilptu:   pitbull
biltu:   built
biltz:   blitz
bily:   libby, billy
binor:   ribbon, robin
binox:   inbox
binru:   rubin
biort:   orbit
biortz:   orbitz
birt:   brit
bjlow:   blowjob
bjmou:   jumbo
bklnory:   brooklyn
bklu:   bulk
bkno:   knob
bknu:   bunk
bko:   book
bkor:   brook
bkorw:   workbook
blmo:   bloom
blnot:   bolton
blnow:   blown
blntu:   blunt
blo:   bool
blot:   bolt
blotuw:   blowout
blotx:   toolbox
blow:   bowl, blow
bloy:   lobby
blpu:   publ
blru:   blur
blu:   bulb, bull
bmo:   boom, bomb
bmot:   tomb, bottom
bmoy:   moby
bmpu:   bump
bno:   bonn, bono
bnor:   born
bnortu:   burton
bnoru:   bruno
bnorw:   brown
bnorx:   bronx
bnory:   byron
bnotu:   button
bnotuy:   bounty
bnrtu:   burnt
bnru:   burn
bntu:   ubuntu
bnuy:   bunny
bo:   boob
bopr:   prob
bort:   robot
bortu:   turbo
borw:   borrow
bot:   boot
botu:   bout
boty:   toby, booty
box:   xbox
boy:   bobby
boyz:   boyz
brtu:   burt
bru:   burr
bruy:   bury, ruby
btu:   butt
buz:   buzz
cdefhir:   friedrich
cdefikr:   frederick
cdefino:   confined, confidence
cdefinr:   difference
cdefint:   deficient, infected
cdefiny:   deficiency
cdefir:   frederic
cdefirt:   certified
cdefit:   deficit
cdefitv:   defective
cdefku:   fucked
cdeflrt:   reflected
cdefn:   defence
cdefnor:   conferred, enforced
cdefnr:   referenced
cdefor:   forced
cdeft:   effected, defect
cdegiln:   diligence, declining
cdegin:   deciding
cdegino:   decoding, genocide, encoding
cdegint:   detecting
cdeginx:   exceeding
cdeglnt:   neglected
cdehimo:   homicide
cdehinr:   enriched
cdehipt:   pitched
cdehk:   checked
cdehop:   chopped
cdehotu:   touched
cdehp:   depeche
cdei:   dice, decide, decided
cdeijnt:   injected
cdeik:   kicked, dicke
cdeikl:   clicked
cdeikp:   picked
cdeikw:   wicked
cdeiln:   inclined, declined, decline
cdeilnu:   included, include
cdeilor:   crocodile
cdeimn:   medicine
cdeimnt:   indictment
cdeimot:   committed
cdeimp:   epidemic
cdein:   incidence
cdeino:   coincidence
cdeinor:   endocrine
cdeinot:   conditioned, noticed, detection
cdeinou:   unicode
cdeinov:   conceived, convinced
cdeinp:   independence
cdeinrt:   indirect
cdeinru:   incurred
cdeint:   incident
cdeinu:   induce, induced
cdeinv:   evidenced, evidence
cdeiop:   copied
cdeiopr:   periodic
cdeiopu:   occupied
cdeiort:   creditor, director
cdeiorv:   divorced, divorce
cdeipr:   pierced, priced
cdeiprt:   predict, predicted
cdeiprv:   perceived
cdeipt:   depicted
cdeir:   cider, cried
cdeirt:   redirected, redirect, credited, directed, direct, credit
cdeirtu:   recruited
cdeirtv:   verdict, directv, directive
cdeirtx:   directx
cdeirtz:   criticized
cdeirv:   received
cdeit:   cited
cdeitv:   detective
cdeitx:   excited
cdeiv:   device
cdejrt:   rejected
cdek:   deck
cdeklo:   locked
cdekno:   knocked
cdeko:   cooked
cdekor:   crooked
cdekot:   docket
cdekr:   decker
cdelmop:   compelled
cdelmow:   mcdowell, welcomed
cdelnou:   conclude, concluded
cdelo:   dolce, cooled
cdelopu:   coupled
cdelor:   colored
cdelort:   electrode
cdeloru:   coloured
cdelot:   collected
cdelrtu:   cultured
cdelry:   recycled
cdelt:   elected
cdelux:   excluded, exclude
cdely:   clyde
cdemno:   condemned, commenced
cdemnor:   recommend, recommended
cdemnot:   commented
cdemor:   commodore
cdemou:   docume
cdemoy:   comedy
cdeno:   encode, encoded
cdenor:   encoder, concerned
cdenot:   connected
cdenotu:   counted, conducted
cdenp:   dependence
cdenpr:   precedence
cdenprt:   precedent
cdenpy:   dependency
cdenrt:   centred, centered
cdent:   decent
cdenty:   tendency
cdeo:   coed, codec, deco, coded, oecd, code
cdeopr:   proceeded, proceed
cdeoprt:   protected
cdeopru:   reproduce, reproduced, producer, produce, procedure, produced
cdeor:   decoder, decor, recorder, recorded, record
cdeort:   corrected, detector
cdeoru:   occurred
cdeorv:   recovered, covered
cdeorw:   crowded
cdepr:   preceded
cdeptx:   expected
cder:   decree, creed
cdert:   erected
cderu:   cured, crude, reduced, reduce
cderuv:   curved
cdet:   detect, detected
cdetu:   deducted
cdetux:   executed
cdeu:   educ
cdex:   exceeded, exceed
cdfilor:   clifford
cdfiltu:   difficult
cdfkor:   rockford
cdgikno:   docking
cdgilnu:   including
cdgino:   coding
cdginot:   conditioning
cdhil:   child
cdhilo:   childhood
cdhior:   orchid
cdhit:   ditch
cdhor:   chord
cdhp:   dhcp
cdhtu:   dutch
cdik:   dick
cdimno:   dominic
cdimnou:   condominium
cdimoty:   commodity
cdinor:   nordic
cdinot:   condition
cdinotu:   conduit, induction
cdinov:   vicodin
cdiny:   cindy
cdior:   corridor
cdko:   dock
cdku:   duck
cdlo:   cold
cdlou:   cloud, could
cdlouy:   cloudy
cdmno:   condom
cdmnopu:   compound
cdmor:   cdrom
cdno:   cond, condo
cdnor:   concord
cdnortu:   conductor
cdnory:   croydon
cdnotu:   conduct
cdnotuw:   countdown
cdoprtu:   product
cdor:   cord
cdort:   doctor
cdorw:   crowd
cdoy:   cody
cdrw:   cdrw
cdtu:   duct
cefgin:   fencing
cefgor:   geforce
cefh:   chef
cefhi:   chief
cefhlrt:   fletcher
cefhlru:   cheerful
cefhnr:   french
cefht:   fetch
cefilnu:   influence
cefily:   lifecycle
cefinop:   openoffice
cefinor:   reinforce
cefinot:   coefficient, infection
cefinr:   inference
cefinrt:   interference
cefint:   infect, efficient
cefintv:   ineffective
cefinu:   unicef
cefiny:   efficiency
cefio:   office
cefior:   officer
cefiort:   fioricet
cefir:   fierce
cefirt:   terrific
cefirty:   certify
cefitv:   effective
cefkorw:   workforce
cefl:   fleece
ceflnor:   florence
ceflort:   reflector
ceflrt:   reflect
cefmort:   comforter
cefn:   fence
cefno:   offence
cefnor:   enforce, conference
cefnpr:   preference
cefnr:   reference
cefo:   coffee
cefor:   force
cefprt:   perfect
ceft:   effect
ceghikn:   checking
ceghn:   cheng
cegil:   giclee
cegiln:   negligence, ceiling
cegilnt:   intelligence
cegimno:   commencing, genomic
cegimru:   mcguire
ceginor:   concierge, concerning
ceginot:   contingent, connecting
ceginpr:   piercing
ceginr:   generic
ceginrt:   energetic
ceginru:   recurring
ceginrv:   receiving
cegint:   genetic
cegintx:   exciting
ceglno:   cologne
ceglnt:   neglect
ceglo:   college
cegloy:   ecology
ceglry:   clergy
cegm:   mcgee
cegmnr:   emergence
cegmnry:   emergency
cegmor:   mcgregor
cegnorv:   convergence
cegnruy:   urgency
cegnry:   regency
cegory:   grocery
cegr:   greece
cehikn:   chicken
cehiknt:   kitchen
cehikqu:   quickcheck
cehil:   chile
cehilm:   michele, michel, michelle
cehilmt:   mitchell
cehilv:   vehicle
cehimny:   chimney
cehin:   niche
cehint:   ethnic
cehinty:   ethnicity
cehio:   choice
cehior:   heroic
cehiort:   rhetoric
cehiprt:   pitcher
cehir:   reich, richer, richie
cehirt:   richter, ritchie, thrice
cehirvw:   whichever
cehk:   cheek, heck, check
cehkor:   cherokee
cehkotu:   checkout
cehkoy:   hockey
cehkr:   checker
cehlnop:   cellphone
cehlnou:   luncheon
cehlo:   chloe
cehlry:   cheryl
cehlv:   chevelle
cehlw:   welch
cehm:   chem
cehmor:   chrome
cehn:   chen, hence
cehno:   cohen
cehnor:   coherence
cehnort:   coherent
cehnot:   techno
cehnrt:   trench
cehnrw:   wrench
cehnt:   thence
cehny:   cheyenne, cheney
ceho:   echo
cehop:   epoch
cehopr:   chopper
cehopry:   prophecy
cehor:   roche
cehort:   hector, crochet
cehoruv:   voucher
cehqu:   cheque
cehr:   cher, recherche, cheer
cehrtw:   wretch
cehry:   cherry
ceht:   tech
cehvy:   chevy
cehw:   chew
cehz:   czech
ceijnot:   injection
ceiju:   juice
ceiklmr:   limerick
ceikln:   nickel
ceikmny:   mckinney
ceikmnz:   mckenzie
ceikmy:   mickey
ceiknt:   kinetic
ceiko:   cookie
ceikqru:   quicker
ceikrt:   ticker, cricket
ceikrw:   wicker
ceikt:   ticket
ceil:   cecil
ceilm:   cimel
ceilmop:   compile
ceiln:   celine, licence
ceilno:   nicole
ceilnot:   election, collection
ceilnov:   violence
ceilnox:   lexicon
ceilnp:   pencil
ceilnpr:   principle
ceilnt:   intellect, client
ceilnu:   nuclei, nucleic
ceilny:   nicely
ceilop:   police
ceilor:   collier
ceilotv:   collective
ceilptx:   explicit
ceilr:   circle
ceilrt:   erectile, electric
ceilrty:   electricity
ceilt:   eclectic, celtic
ceiltv:   elective
ceilv:   clive
ceim:   mice
ceimno:   income, economic
ceimnot:   commitment
ceimnrt:   increment
ceimnru:   numeric
ceimntx:   excitement
ceimot:   committee
ceimox:   mexico
ceimr:   crime
ceimrt:   metric
cein:   nice
ceino:   innocence, connie
ceinopt:   inception, conception
ceinort:   interconnect, interconnection, citroen, erection, criterion, incorrect, correction
ceinot:   nicotine, contention, continent, innocent, connection, notice
ceinotu:   connecticut, continue
ceinotv:   convection, convenient, convention
ceinotx:   extinction
ceinov:   inconvenience, novice, convince, invoice, convenience
ceinpr:   ripencc, principe, prince
ceinprt:   intercept, precinct, prentice, recipient
ceinpru:   pricerunner
ceinprx:   experience
ceinrt:   centric
ceintv:   incentive, vincent
ceintz:   citizen
ceinv:   vince, venice
ceiopr:   copier
ceiopt:   poetic
ceiort:   erotic
ceiortv:   corrective
ceioru:   courier
ceiotx:   exotic
ceiov:   voice
ceip:   epic, piece
ceipr:   pierce, recipe, price
ceiprt:   receipt
ceiprtu:   picture
ceiprv:   perceive
ceiqrtu:   critique
ceir:   rice, eric
ceirtu:   recruiter, recruit
ceirv:   receiver, receive
ceit:   cite
ceitu:   cutie
ceituvx:   executive
ceitw:   twice
ceitx:   excite
ceiv:   vice
cejkoy:   jockey
cejoprt:   projector, project
cejoy:   joyce
cejrt:   reject
ceklo:   locke
ceklor:   locker
ceklorw:   rockwell
ceklr:   clerk
cekmr:   merck
cekn:   neck
cekntuy:   kentucky
ceko:   cooke, coke
cekopt:   pocketpc, pocket
cekor:   rocker, cooker
cekort:   rocket
cekp:   peck
cekr:   creek
cekrtu:   tucker
cekrw:   wreck
cel:   elec, cell
celmnt:   clement
celmopt:   complete
celmopx:   complex
celmot:   telecom
celmou:   molecule
celmow:   welcome
celno:   colleen, colonel, clone
celnor:   celeron, cornell
celnort:   electron, controller
celnoy:   cyclone
celnrty:   recently
celntu:   lucent
celntx:   excellent
celnu:   uncle
celnx:   excellence
celo:   cello, cole
celopu:   couple
celor:   creole, corel, cooler
celort:   electro, collector
celorty:   correctly
celorv:   velcro, clover
celot:   collect
celrtu:   clutter, lecturer, lecture, culture
celrtuy:   cruelty, cutlery
celru:   cruel
celrv:   clever
celry:   recycle
celt:   elect
celtu:   lettuce
celu:   clue
celx:   excl, excel
cely:   cycle
cemno:   commence
cemnopt:   contempt, competence, competent, component
cemnory:   ceremony
cemnot:   commencement, comment
cemnoy:   economy
cemnt:   cement
cemo:   come
cemopt:   compete
cemoptu:   compute
cemor:   ecommerce, commerce
cemortu:   commuter
cemorv:   overcome
cemot:   comet
cemotu:   commute, outcome
cemr:   creme, mercer
cemrty:   cemetery
cemruy:   mercury
cemry:   mercy
ceno:   econo, econ, cone, once
cenoprv:   provence
cenopt:   concept
cenoqru:   conquer
cenor:   recon, encore, concern, corner
cenort:   centro, concerto, connector, concrete, concert
cenortu:   concurrent, encounter, counter
cenortv:   convert, converter
cenoru:   occurrence
cenoruv:   uncover
cenorw:   crowne
cenot:   connect, content
cenotx:   context
cenou:   ounce
cenovx:   convex
cenovy:   convey
cenprt:   percent
cenr:   cern
cenrt:   centre, recent, center
cenrtu:   recurrent, current
cenrtuy:   century
cenru:   recurrence
cenruy:   currency
cent:   cent, cnet
ceop:   cope
ceopr:   cooper, copper
ceoprt:   protector, receptor, protect
ceoprw:   powerpc
ceopu:   coupe
ceor:   core
ceort:   correct
ceortu:   couture
ceortv:   covert, corvette, vector
ceortx:   cortex
ceorv:   recover, cover
ceorvy:   recovery
ceory:   corey, royce
ceot:   octet, cote
ceoty:   coyote
ceov:   cove
cepr:   creep, repec
ceprtx:   excerpt
cepry:   creepy, percy
ceptx:   expect, except
cert:   erect, crete, cert
certu:   cutter
ceru:   cure
ceruv:   curve
cerw:   crew
cet:   cette
cetu:   cute
cetux:   execute
cex:   exec
cfgiknu:   fucking
cfgino:   config
cfginor:   forcing
cfhin:   finch
cfikl:   flick
cfiklr:   flickr
cfiknu:   fuckin
cfil:   cliff
cfilnot:   clifton, conflict
cfimnor:   confirm
cfino:   coffin
cfinort:   friction
cfinot:   nonfiction, fiction
cfinotu:   function
cfklo:   flock
cfku:   fuck
cfloru:   colorful
cfmnor:   conform
cfmort:   comfort
cfno:   conf
cfnort:   confront
cfnu:   func
cfu:   cuff
cghin:   ching
cghinpt:   pitching
cghiot:   gothic
cghnu:   chung
cghou:   cough
cgikln:   licking, clicking
cgiklno:   locking
cgiklnt:   tickling
cgikn:   kicking
cgikno:   knocking, cooking
cgiknor:   rocking
cgiknp:   picking
