abcdefk:   feedback
aeilprt:   preliterate, parietal, paltrier
aeilprv:   prevail, paravaile
aeilptv:   palliative
aeilptz:   palletize, palatalize
aeilqtu:   tequila
aeilquz:   equalize
aeilrtu:   literature
aeilrtv:   retrieval, relative, alliterative
aeilrty:   trilaterally, reality, literary, literally, laterality, irately, artillery
aeilrwy:   wearily
aeiltuv:   evaluative
aeiltvx:   laxative
aeiltvz:   vitalize
aeimnor:   romaine, moraine
aeimnot:   nominate, innominate, emanation, ammonite
aeimnpr:   repairmen, repairman, permian
aeimnpt:   impatient
aeimnqu:   mannequin
aeimnrt:   terminate, reanimate, raiment, minaret, martinet, marinate, maintainer, entertainment
aeimnrv:   venireman, minerva
aeimnrx:   examiner
aeimntu:   minutiae, minuteman
aeimntv:   vietnam
aeimnty:   anytime, amenity
aeimopr:   emporia
aeimotv:   motivate
aeimotx:   toxemia
aeimotz:   atomize
aeimprt:   primate
aeimprv:   vampire
aeimrtu:   terrarium, immature
aeimrtw:   wartime
aeimrtx:   taximeter
aeimtuv:   mutative
aeinopt:   potentia, appointee
aeinort:   reorientation, reiteration, ratione, orientation, orientate, iteration, anterior, aeration
aeinorw:   ironware
aeinorx:   anorexia
aeinotu:   attenuation
aeinotv:   venation, venatio, novitiate, innovative, innovate
aeinotw:   newtonian
aeinotx:   annexation
aeinprt:   terrapin, repaint, pertain, pentair, painter, interpenetrate, appertain
aeinptu:   petunia
aeinqtu:   aquitaine, antique, antiquate
aeinrtu:   urinate
aeinrtv:   veterinarian, travertine, narrative, inveterate
aeinrtw:   tawnier
aeinrty:   itinerary
aeintvy:   naivety
aeintxy:   anxiety
aeioprt:   propitiate, pretoria, appropriate
aeiprtv:   reparative, privative, privateer, private, preparative, partitive
aeiprtw:   wiretap
aeiprtx:   extirpate, expatriate
aeiprtz:   appetizer
aeipruz:   pauperize
aeiptuv:   putative
aeiqrtu:   quietare
aeirtuz:   azurite
aeirtvy:   variety
aejkrtw:   jerkwater
aejmort:   majorette
aeklmrw:   lawmaker
aeklmry:   malarkey
aekmrtw:   watermark
aeknprt:   partaken
aeknptw:   wapentake
aeknrvy:   knavery
aekoprw:   paperwork
aekortv:   overtake
aelmnop:   monoplane
aelmnor:   almoner
aelmnot:   allotment
aelmnpt:   nameplate
aelmnrt:   maternal, maltreatment
aelmnru:   numeral
aelmnry:   mannerly
aelmntu:   annulment
aelmnty:   mentally, elementally, allayment
aelmopr:   premolar, palermo
aelmopt:   palmetto
aelmopu:   ampoule
aelmopy:   maypole
aelmorv:   valorem, removal
aelmorz:   mozzarella
aelmoty:   tomalley
aelmprt:   trample, templar
aelmprx:   exemplar
aelmpry:   lamprey
aelmpty:   playmate
aelnopt:   antelope
aelnort:   tolerant, alternator
aelnoru:   neuronal
aelnpqu:   aquaplane
aelnprt:   replant, prenatal, planter, paternal, parentela, parental
aelnprw:   warplane
aelnpry:   plenary
aelnptu:   petulant, antepenult
aelnpty:   penalty, patently, aplenty
aelnquy:   unequally
aelnrtu:   unlearnt, renault, neutral, naturel, naturale
aelnrtv:   ventral, tetravalent, relevant
aelnrtx:   relaxant, external
aelnrty:   eternally, alternately
aelnruv:   unravel
aelnrvy:   vernally
aelnryz:   analyzer
aelntuv:   eventual
aelntux:   exultant
aelnuvz:   venezuelan, venezuela
aeloprt:   patroller, allotrope
aeloprv:   overleap, overlap
aelopry:   propylaea
aeloptu:   populate
aelopxy:   apoplexy
aelortv:   elevator
aelortw:   waterloo
aelorty:   aleatory
aelortz:   lazaretto
aeloruv:   overvalue
aelorvy:   overlay, layover
aelotuv:   ovulate
aelprtu:   perpetual
aelpryz:   paralyze
aelqtuz:   quetzal
aelrtuv:   vaulter, revaluate
aelrtux:   textural
aelrtuy:   tutelary
aelrtwz:   waltzer
aeltuxy:   textually
aemnort:   ornament, manometer, attornment, anteroom, anemometer
aemnorv:   overman
aemnory:   anymore
aemnotz:   metazoan
aemnprt:   temperament, permanent, pentameter, entrapment, apartment
aemnpry:   empyrean
aemnptv:   pavement
aemnpty:   payment
aemnrtu:   remunerate, numerate, enumerate
aemnrtv:   averment
aemnruv:   maneuver
aemnrvy:   everyman
aemoprt:   tempora
aemortu:   mortuae
aemprtu:   tempura, temperature, premature
aenoprt:   protean
aenopru:   european
aenortu:   aeronaut
aenortv:   venerator, renovator, renovate, overeaten
aenortx:   exonerate
aenorty:   attorney
aenorvw:   ovenware
aenouvx:   nouveaux
aenprtu:   unrepentant, enrapture, appurtenant
aenprtw:   antwerp
aenpruv:   parvenu
aenqrtu:   quarentena
aeoprtu:   perpetuator
aeoprtv:   evaporator, evaporate
aeoprty:   preparatory, portrayer
aeoprvw:   vaporware
aeoprvy:   overpay
aeoqrtu:   quorate, equator
aeoqruv:   vaquero
aeortuw:   outwear, outerwear
aeortvx:   overtax
aepqrtu:   parquet
aeprtuw:   tupperware
aeprtxy:   taxpayer
afghint:   hafting
afghirt:   affright
afghrtu:   fraught
afgikln:   flanking, flaking
afgiknr:   franking
afgilmn:   inflaming, flaming
afgilno:   loafing, foaling
afgilnp:   flapping
afgilnr:   raffling, flaring
afgilnt:   inflating, flatting, filiating, affiliating
afgilnu:   unflagging, unfailing, gainful
afgilnw:   waffling
afgilny:   flaying
afgilnz:   finalizing
afgilru:   figural
afgimno:   foaming
afgimnr:   framing, farming, affirming
afgimny:   magnifying, magnify
afginor:   foraging
afginpr:   frangipani
afginqu:   quaffing
afginrt:   rafting, grafting, farting
afginry:   fraying
afgintu:   infatuating, fatiguing
afgintw:   wafting
afgintx:   fixating
afginuw:   guffawing
afgiort:   graffito
afgirty:   gratify
afglnrt:   flagrant
afglruy:   frugally
afgmnor:   frogman
afgortu:   fugator
afhiltu:   faithful
afhimnu:   hafnium
afhlmru:   harmful
afhloty:   hayloft
afiklnr:   franklin
afilmpy:   amplify
afilmry:   familiarly
afilnop:   fallopian
afilnot:   inflation, foliation, flotation, floatation, filiation, affiliation
afilnpt:   plaintiff, flippant
afilnpu:   painful
afilntv:   infinitival
afilnty:   finality, faintly
afilorw:   airflow
afilquy:   qualify
afilrty:   fritillary, frailty
afimnor:   foramina
afimnrt:   affirmant
afimnry:   infirmary
afinopr:   rainproof
afinotu:   infatuation, fountain
afinotx:   fixation
afinrty:   infantry
afklnry:   frankly
afklntu:   tankful
afklowy:   folkway
afkmort:   footmark
afknort:   frankfort
afknrtu:   frankfurt
aflmnuy:   manfully
aflmoru:   formula
aflmorw:   wolfram
aflmory:   formally
aflnort:   frontal
aflnuwy:   unlawfully
aflprty:   flytrap
aflrtuy:   artfully
aghiknr:   harking
aghiknt:   thanking
aghiknw:   hawking
aghilno:   hooligan, hallooing
aghilnt:   hightailing, halting, annihilating, alighting
aghilnu:   laughing, hauling
aghilnv:   halving
aghilnw:   whaling
aghilot:   goliath
aghilrt:   alright
aghimnr:   harming
aghimnw:   whamming
aghinox:   hoaxing
aghinpr:   paragraphing, harping, graphing
aghinru:   hurrahing, hungarian, haranguing
aghinry:   harrying
aghintu:   haunting
aghintw:   thawing
aghinty:   anything
aghkmny:   gymkhana
aghlmor:   hologram
aghlopr:   olograph, holograph, allograph
aghlotu:   although
aghmnoy:   mahogany
aghmopr:   homograph
aghnopr:   phonograph
aghnotu:   hangout
aghnruy:   hungary
aghntuy:   naughty
aghoprt:   photograph
aghortw:   warthog
agijntu:   jaunting
agiklnp:   planking
agiklnr:   rankling, larking
agiklnt:   talking
agiklnw:   walking
agiklnz:   alkalizing, alkalinizing
agikmnr:   marking
agikmnu:   unmaking
agiknoy:   okaying, kayoing
agiknpr:   parking
agiknqu:   quaking
agiknty:   tanganyika
agilmno:   mongolian, mongolia, magnolia, gloaming
agilmnp:   palming, impaling
agilmnr:   marling, marginalia, marginal, alarming
agilmnt:   militating, mantling, malting, malignant, laminating, amalgamating
agilmnu:   mulligan, mauling
agilmpu:   palagium
agilnop:   pangolin, galloping
agilnor:   original
agilnot:   totaling, litigation, intaglio, inlagation, gloating, allotting
agilnow:   wallowing, allowing
agilnox:   gloxinia
agilnoy:   annoyingly, alloying
agilnoz:   analogizing
agilnpr:   pillaring, grappling
agilnpt:   platting, plating, planting, plaiting, palpitating, palpating, palliating
agilnpu:   plaguing
agilnpw:   lapwing
agilnpy:   playing, applying, appallingly
agilnqu:   quailing
agilnrt:   trailing, rattling
agilnru:   inaugural, alluring
agilnrv:   virginal, rivaling
agilnrw:   wrangling
agilnry:   rallying, grayling, glaringly, angrily
agilntu:   untangling, ululating, agglutinin, agglutinating
agilntv:   vigilant, invigilating, gallivanting, gallivant
agilnty:   tallying
agilntz:   tantalizing, initializing
agilnuv:   valuing, unavailing
agilnuy:   ungainly
agilnuz:   annualizing
agilnvy:   vaginally
agilnvz:   galvanizing
agilnwy:   yawningly, waylaying
agilnyz:   analyzing
agilort:   alligator
agilotv:   gigavolt
agilpry:   playgirl, plagiary
agimnor:   roaming, marooning, armoring
agimnot:   nominating, mitigation, imagination
agimnpr:   rampaging, impairing
agimnpt:   tamping
agimnpv:   vamping
agimnrt:   migrating, migrant, marinating, immigrating, immigrant
agimnru:   rummaging
agimnrv:   gravamina
agimnrw:   warming
agimnry:   marrying, imaginary
agimntu:   mutating, manumitting
agimnty:   magnanimity
agimnxz:   maximizing
agimpru:   paragium
aginopt:   poignant, patagonian, patagonia, pagination, appointing
aginort:   rotating, rogation, rigatoni, rationing, originator, origination, originating, orating, irrigation, ignoratio, ignorantia, ignorant, garroting, attorning, arrogation, arrogating
aginorw:   narrowing
aginorz:   organizing
aginotv:   navigation, innovating
aginotz:   antagonizing
aginovw:   avowing
aginovy:   voyaging
aginowy:   waygoing
aginprt:   trapping, prating, pirating, parting
aginprw:   wrapping, warping
aginpry:   praying, parrying
aginptu:   pupating
aginqtu:   aquatinting, antiquating
aginrtu:   urinating, inaugurating
aginrtv:   gravitating, aggravating
aginrtw:   warranting
aginrty:   tarrying, gyrating
aginrvy:   varying
agintuv:   vaunting
agirtuy:   gratuity
agirtuz:   ziggurat
agirtvy:   gravity
aglmopy:   polygamy
aglmoru:   glamour
aglnopy:   polygonal
aglnoru:   languor
aglnorz:   gorgonzola
aglnpuy:   gunplay
aglnrty:   gallantry
aglnruy:   granularly
aglntuy:   ungallantly, gauntly
aglotuy:   tautology
aglrtuy:   gutturally
aglruvy:   vulgarly
agmnory:   agronomy
agnortu:   orangutan, guarantor, argonaut
agnpruy:   paraguayan
agnrtuy:   guaranty
ahilmny:   himalayan
ahilmtu:   thallium
ahilnot:   inhalation, halation, annihilation
ahilntu:   lithuanian, lithuania
ahilrty:   hilarity
ahimnru:   marihuana
ahimntw:   whitman
ahimopt:   hippopotami
ahimrty:   arrhythmia
ahimtuz:   azimuth
ahimtvz:   mitzvah
ahinopt:   antiphon
ahinpty:   antipathy
ahinrtu:   arthurian
ahkmotw:   tomahawk
ahknrty:   kathryn
ahlmnor:   hormonal
ahlmntu:   lanthanum
ahlmnuy:   humanly
ahlmopr:   allomorph
ahlmopy:   lymphoma
ahlnort:   althorn
ahlorty:   harlotry
ahmnopt:   phantom
ahmnort:   marathon
ahmnory:   harmony
ahnortw:   hawthorn
ahnprxy:   pharynx
ahoprtu:   autoharp
ahoprty:   atrophy
ahrtuwy:   thruway
aijknou:   kinkajou
aijlovy:   jovially
aijmnru:   marijuana
aijnopy:   popinjay
aijnort:   janitor
aiklnty:   alkalinity
aiklotw:   kilowatt
ailmnop:   palomino, monopolia
ailmnor:   monorail, manorial
ailmnot:   motional, limitation, lamination, immolation
ailmnoy:   nominally, alimony
ailmnpt:   implant
ailmnry:   marilyn
ailmnty:   militantly
ailmopt:   optimal
ailmopy:   olympia
ailmort:   immortal, immolator
ailmory:   immorally
ailmprt:   impartial
ailmpry:   primarily
ailmrty:   military, militarily, martially
ailmrxy:   maxillary
ailmtuy:   mutuality
ailnopt:   pollination, plantation, palpitation, palpation, palliation, optional
ailnopv:   pavilion
ailnort:   totalitarian, rotational, rational, notarial, irrational
ailnotu:   ululation, lunation
ailnotv:   volitional, violation, invitational
ailnotw:   alwinton
ailnoty:   tonality, nationally, nationality, atonality
ailnotz:   tantalization, nationalization, initialization
ailnouv:   alluvion
ailnpqu:   palanquin
ailnptu:   nuptial, lilliputian
ailnpty:   ptyalin
ailnqtu:   quintal
ailnrtu:   utilitarian
ailntvy:   valiantly
ailoprt:   raptorial
ailoptu:   autopilot
ailoptv:   pivotal
ailoqtu:   aliquot
ailortu:   tutorial
ailortv:   violator
ailorux:   uxorial
ailotvy:   volatility
ailprty:   partially, partiality
ailqtuy:   quality
ailrtuv:   virtual
ailrtuy:   ritually
ailrtvy:   trivially, triviality
ailruxy:   auxiliary
aimnopt:   maintop
aimnort:   nominator, mortmain, animator
aimnorv:   monrovia, monravia
aimnotu:   mutation, mountain, automation, ammunition
aimnotv:   motivation
aimnoty:   antinomy, antimony, anonymity
aimnotz:   minimization, atomization
aimnprz:   marzipan
aimnrtu:   ruminant, mauritian, mauritanian, mauritania
aimnrtv:   varmint
aimntuy:   unanimity
aimoprx:   proxima
aimortu:   moratorium
aimorty:   moriarty
aimoruv:   variorum
aimprtu:   partium, imprimatur
aimprty:   imparity
aimrtuy:   maturity, immaturity
ainoprt:   proration, propitiation, partition, appropriation, apportion, appointor, apparition, antiproton
ainoptu:   utopian, pupation
ainoqtu:   quotation, antiquation
ainortu:   urination, ruination
ainortv:   variation, innovator
ainotuz:   unitization, unionization
ainpqtu:   piquant
ainprtu:   puritan
ainqrtu:   quatrain, antiquarian
ainqtuy:   quantity, antiquity
ainrtuy:   unitary
aioprty:   topiary, propitiatory
aiprtuy:   pituitary
ajlnoru:   journal
ajmnruy:   juryman
aklnopt:   plankton
aklotuw:   walkout
akmnorw:   workman
aknortu:   outrank
almnopr:   paranormal
almnoru:   unmoral, monaural
almnory:   normally
almnowy:   womanly, laywoman
almopry:   playroom
almorty:   mortally, mayoralty
alnopru:   unpopular
alnoptu:   pollutant
alnopty:   polytonal
alnorwy:   narrowly
alnotwy:   wantonly
alnrtuy:   unnaturally, naturally
aloprty:   prototypal, portrayal, allotropy
alopruy:   popularly
aloptuy:   outplay
alortuv:   valuator
alortvy:   lavatory
amnotuy:   autonomy
amnotxy:   taxonomy
amnptuy:   tympanum
amnqruy:   quarryman
amoprty:   protomartyr
amortuy:   mortuary
anoprty:   pronotary
anoprtz:   protozoan
bcdehir:   herbicide
bcdehit:   bitched
bcdehln:   blenched
bcdehnu:   bunched
bcdehot:   botched
bcdeikr:   bricked, bickered
bcdeilm:   climbed
bcdeilr:   credible
bcdeilu:   educible, deducible
bcdeily:   bicycled
bcdeino:   obedience
bcdeint:   benedictine, benedict
bcdejot:   objected
bcdeklo:   blocked
bcdeklu:   buckled
bcdekno:   beckoned
bcdekor:   bedrock
bcdektu:   bucketed
bcdelor:   clobbered
bcdelou:   beclouded, becloud
bcdemru:   cumbered, crumbed
bcdenou:   bounced
bcdeorv:   bedcover
bcdeoty:   boycotted
bcdiklu:   duckbill
bcdimor:   bromidic
bcdinru:   rubicund
bcdiorw:   cowbird
bcdklow:   woodblock
bcdkoru:   burdock
bcefikr:   firebrick
bcefint:   beneficent
bceghin:   benching
bcehior:   brioche
bcehirt:   bitchier
bcehiru:   chubbier, cherubic
bcehitw:   bewitch
bcehkno:   cheekbone
bcehktu:   buckteeth
bcehlru:   blucher
bcehort:   brochette
bcehoru:   brochure
bcehrtu:   butcher
bceilmo:   embolic
bceilmr:   climber
bceilnu:   ebullience
bceilnv:   invincible, evincible
bceilor:   coercible
bceilot:   collectible, botticelli
bceilru:   crucible
bceimno:   combine
bceimor:   microbe
bceinot:   cenobite
bceinou:   concubine
bceinoz:   benzoic
bcejort:   objector
bceklru:   buckler
bceknru:   rubberneck
bcekopt:   pocketbook
bcekoru:   roebuck
bcekqru:   quebecker
bcelmru:   crumble, cerebellum
bcelnov:   benevolence
bcelrtu:   tubercle
bcemnru:   recumbence, encumber
bcenoru:   bouncer
bceprtu:   buttercup
bcflotu:   clubfoot
bcghint:   bitching
bcghinu:   bunching
bcgiknr:   bricking
bcgiknu:   bucking
bcgilmn:   climbing
bcgilno:   cobbling
bcgilnu:   clubbing
bcgilny:   bicycling
bcgimno:   combining, combing
bcginou:   bouncing
bcginru:   curbing
bchilty:   bitchily
bchimop:   homophobic
bchimor:   rhombic
bchinor:   bronchi
bchiory:   choirboy
bchkotu:   bucktooth
bchloty:   blotchy
bciklot:   bootlick
bcikorw:   brickwork
bcilmou:   columbium
bcilnvy:   invincibly
bcilpuy:   publicly
bcimoru:   ciborium
bcinoru:   rubicon
bcirtuy:   butyric
bcklnou:   unblock
bclmoru:   clubroom
bclmruy:   crumbly
bdefilo:   lifeblood
bdefinr:   befriended, befriend
bdefint:   benefited
bdeflmu:   fumbled
bdeflou:   befouled
bdeflow:   bedfellow
bdeghmu:   humbugged
bdegiln:   blending, bleeding
bdegilo:   obliged
bdegilr:   dirigible
bdegilu:   beguiled
bdegimn:   imbedding, embedding
bdegimr:   bembridge, begrimed
bdeginr:   rebinding, inbreeding, breeding, begirding
bdegint:   debiting, betiding
bdeginu:   unbending, debugging
bdeginw:   bedewing
bdeginz:   bedizening
bdegiot:   bigoted
bdegirt:   bridget
bdeglno:   boondoggled, boondoggle, belonged
bdeglnu:   bungled
bdeglot:   bootlegged
bdeglou:   doodlebug, bulldogged
bdeglru:   burgled
bdehint:   inhibited
bdehirt:   birthed
bdehitx:   exhibited
bdehlmu:   humbled
bdehlno:   beholden
bdehlor:   beholder
bdehloy:   hobbledehoy
bdehlrt:   blethered
bdehmoy:   homebody
bdehmtu:   thumbed
bdehort:   throbbed, brotherhood, bothered, betrothed
bdeikln:   blinked
bdeiklr:   birdlike
bdeiktz:   kibitzed
bdeilmr:   limbered
bdeilno:   bloodline
bdeilnr:   blinder
bdeilnu:   unbilled
bdeilnv:   vendible
bdeilny:   indelibly
bdeilor:   broiled, bloodier
bdeilow:   billowed
bdeilox:   bollixed
bdeilqu:   quibbled
bdeilrt:   driblet
bdeilru:   rebuild, builder, bluebird
bdeilrw:   bridewell, bewildered, bewilder
bdeilty:   edibility, debility
bdeiltz:   blitzed
bdeimor:   embroidered, embroider, bromide
bdeimrt:   timbered, embittered
bdeimru:   imbrued
bdeinor:   beribboned
bdeinot:   obedient
bdeinou:   bedouin
bdeinow:   woodbine
bdeinrt:   interbreed, interbred
bdeinru:   underbid, unburied
bdeinry:   bindery
bdeinrz:   benzedrine
bdeiort:   orbited, debitor
bdeiorv:   overbid
bdeirtu:   bruited
bdeiruz:   rubberized
bdeituy:   dubiety
bdejlmu:   jumbled
bdeknot:   betokened
bdeknru:   bunkered
bdekorv:   overbooked
bdelmno:   emboldened, embolden
bdelmpu:   plumbed
bdelmrt:   trembled
bdelmru:   rumbled, lumbered
bdelmtu:   tumbled
bdelnor:   blonder
bdelnru:   blunderer, blundered, blunder
bdelntu:   unbelted, blunted
bdeloru:   redoubled, redouble, boulder
bdelorv:   overbold
bdelotu:   doublet
bdelouz:   bulldozed, bulldoze
bdelrtu:   blurted
bdemnot:   entombed
bdemnru:   unnumbered, renumbered, numbered
bdemorw:   embowered
bdenoru:   rebounded, rebound, eurobond, bounder
bdenorw:   browned
bdenorz:   bronzed
bdenotu:   undoubted, unbuttoned, buttoned
bdenouw:   unbowed
bdenrtu:   unbuttered, debenture
bdeortu:   redoubt, obtruded, obtrude, doubter
bdeortv:   obverted
bdeoruv:   overdubbed, overdub
bdeoruw:   burrowed
bdeorvy:   everybody
bdeprtu:   perturbed
bdfgnou:   fogbound
bdfilno:   blindfold
bdflotu:   doubtful
bdfmnou:   dumbfound
bdgikno:   bookbinding
bdgiknr:   kingbird
bdgilno:   boondoggling, blooding
bdgilnr:   dribbling, bridling
bdgilnu:   unbundling, bundling, building
bdgilny:   blindingly
bdginor:   brooding
bdginou:   bounding
bdginoy:   bodying
bdginru:   drubbing
bdginry:   birdying
bdgnruy:   burgundy
bdhimor:   rhomboid
bdhlnou:   bloodhound
bdijotu:   djibouti
bdinruw:   windburn
bdknory:   donnybrook
bdkorwy:   bodywork
bdnoruw:   rubdown
bdnotuw:   buttonwood
bdoruwz:   buzzword
befgiln:   enfeebling
befgino:   befogging
befginr:   briefing
befgint:   benefiting, befitting
befgiru:   firebug
befilnu:   unbelief
befilnx:   inflexible
befilrt:   filbert
befilry:   briefly
befilxy:   flexibly
befimor:   firebomb
befinor:   bonfire
befiorx:   firebox
beflmnt:   enfeeblement
beflmru:   fumbler
beflorw:   bellflower
beflouw:   beowulf
beghirt:   brighter
beghlru:   breughel
beghotu:   bethought
begiklr:   kilberg
begiknp:   beekeeping
begilmu:   belgium
begilno:   ignoble, ennobling, belonging
begilnp:   pebbling, bleeping
begilnr:   rebelling
begilnt:   intelligible, billeting, belting, belittling, beetling
begilnu:   beguiling
begilnv:   beveling, believing
begilny:   negligibly, benignly, belying, bellying
begilru:   bulgier, beguiler
begilty:   legibility, illegibility, eligibility
begimnr:   remembering, bemiring, begriming
begimnu:   benumbing
beginor:   bioengineering
beginoy:   obeying
beginrt:   bettering
beginrw:   brewing
beginrz:   breezing
beginty:   benignity
beglmru:   grumbler, grumble
beglnrt:   greenbelt
beglnru:   bungler
beglort:   globetrotter, bootlegger
begmnoy:   bogeymen
begmnru:   nuremberg
begnoru:   burgeon
behiknt:   bethink
behilmt:   thimble
behilno:   holbein
behilop:   bibliophile
behilor:   horrible
behilrt:   blither
behilty:   blithely
behimno:   bonhomie
behinop:   hipbone
behiorv:   herbivore
behlmru:   humbler
behlort:   brothel
behlrtw:   bellwether
behnopx:   xenophobe
behnotv:   beethoven
behnpru:   hepburn
behoprt:   potherb
beiklmo:   bookmobile
beiklnr:   blinker
beiklru:   bulkier
beiklwy:   biweekly
beiknor:   knobbier
beikrtz:   kibitzer
beilmnr:   nimbler
beilmnt:   belittlement
beilmor:   mobilier, embroil
beilmoz:   mobilize, immobilize
beilmru:   liberum
beilnor:   rebellion
beilnow:   bowline
beilnrt:   libertine
beilntu:   ebullient, buntline, bulletin
beilopw:   blowpipe
beiloqu:   oblique
beilort:   trilobite, libretto
beilorw:   wobblier
beilorz:   berlioz
beilotu:   oubliette
beilpty:   plebeity
beilqru:   quibbler
beilrtu:   rebuilt
beilrtv:   revertible
beilrty:   terribly, liberty, bitterly
beilryz:   breezily
beimnor:   bromine
beimntu:   bitumen
beimpru:   bumpier
beimrtu:   terbium
beinorw:   brownie
beinotv:   obvention
beinrtu:   turbine, tribune
beinrty:   inebriety
beiopru:   pourboire
beioqtu:   boutique
beiortv:   overbite
beiqrtu:   briquette
beirtuv:   retributive
beirtvy:   brevity
bejkoux:   jukebox
bejortu:   turbojet
bekmopr:   pembroke
beknoru:   unbroken
beknouw:   unbeknown
bekopry:   pokeberry
belmnot:   ennoblement
belmnow:   noblewomen
belmntz:   embezzlement
belmopr:   problem
belmpru:   plumber
belmrtu:   tumbrel, tumbler
belmruy:   mulberry
belnotv:   benevolent
belnrtu:   turbulent, blunter
belopty:   potbelly
belortu:   trouble
belortx:   letterbox
bemnort:   trombone
bemnorv:   november
benortv:   verboten
beoruvy:   overbuy
beprtuy:   puberty
bfgilnu:   flubbing, bluffing
bfgloru:   bullfrog
bfilmru:   brimful
bflnowy:   flyblown
bghilno:   hobgoblin, hobbling
bghilnt:   blighting
bghimnu:   humbugging
bghinor:   highborn, bighorn
bghinrt:   birthing
bghiorw:   highbrow
bghortu:   brought
bgiklnu:   unblinking, bulking
bgiknor:   brooking
bgiknru:   burking
bgikntz:   kibitzing
bgilmno:   blooming
bgilmnu:   mumbling, bumbling
bgilmor:   imbroglio
bgilmou:   gumboil
bgilnor:   broiling
bgilnot:   bottling, bolting, blotting
bgilnou:   globulin
bgilnow:   wobbling, bowling, blowing, billowing
bgilnox:   bollixing
bgilnoy:   obligingly, lobbying, ignobly
bgilnqu:   quibbling
bgilnru:   burgling, burbling, blurring
bgilntu:   blunting
bgilnty:   bitingly
bgilntz:   blitzing
bgilnuy:   bullying
bgiltuy:   gullibility
bgimnot:   bottoming
bgimnpu:   bumping
bgimnru:   imbruing
bginopr:   probing
bginort:   orbiting
bginorw:   browning, borrowing
bginorz:   bronzing
bginotu:   unbuttoning, buttoning
bginouy:   buoying
bginpru:   upbringing, burping
bginrtu:   bruiting
bginruy:   burying
bgiorty:   bigotry
bglnouw:   blowgun
bhilnor:   hornbill
bhilnot:   billionth
bhilory:   horribly
bhilpuw:   bullwhip
bhimort:   thrombi
bhinort:   inhibitor
bhioprt:   prohibit
bhkmnoy:   hymnbook
biklnot:   inkblot
bikmnpu:   bumpkin
bikmtuz:   kibbutzim
bilmoty:   mobility, immobility
bilmpuy:   bumpily
bilnoty:   nobility
biloruz:   lubrizol
bimopru:   opprobrium
bioprty:   probity
bklnory:   brooklyn
bnortuw:   brownout
cdefhil:   filched
cdefikl:   flicked
cdefikr:   fredrick, frederick
cdefino:   confined, confidence, confided, confide
cdefinr:   indifference, difference
cdefint:   infected, deficient
cdefiny:   deficiency
cdefior:   officered
cdefirt:   rectified, certified
cdefiru:   crucified
cdefitv:   defective
cdefklo:   flocked
cdefklr:   freckled
cdefkor:   defrocked, defrock
cdeflrt:   reflected
cdefnor:   enforced, conferred
cdefnou:   confounded
cdefntu:   defunct
cdefort:   defector
cdefprt:   perfected
cdeghou:   coughed
cdegikm:   gimmicked
cdegikn:   decking
cdegiln:   diligence, declining
cdegimr:   germicide
cdegino:   genocide, encoding, decoding, conceding
cdeginr:   receding, decreeing, cringed
cdegint:   detecting
cdeginu:   educing, deducing
cdeginv:   evidencing, deceiving
cdeginx:   exceeding
cdegiot:   geodetic
cdeglnt:   neglected
cdehikl:   childlike
cdehikn:   chinked, chickened
cdehikt:   thicketed
cdehikw:   chickweed
cdehiln:   clinched
cdehilp:   delphic
cdehimo:   homicide
cdehinp:   pinched
cdehinr:   enriched
cdehiow:   cowhide
cdehipr:   deciphered, decipher, ciphered, chirped
cdehipt:   pitched
cdehipu:   hiccupped, hiccuped
cdehirt:   ditcher, dietrich
cdehitw:   witched, twitched
cdehklo:   lockheed
cdehklu:   chuckled
cdehknp:   henpecked
cdehknu:   unchecked, chunked
cdehkpu:   upchucked
cdehlmu:   mulched
cdehlnu:   unclenched, lunched
cdehlny:   lynched
cdehlot:   clothed
cdehlru:   lurched
cdehltu:   clutched
cdehmnu:   munched
cdehmor:   chromed
cdehnot:   notched
cdehnpu:   punched
cdehnqu:   unquenched, quenched
cdehnrt:   trenched, retrenched, entrenched
cdehnru:   crunched, churned
cdehnrw:   wrenched
cdehopu:   pouched
cdehort:   torched, hectored, crocheted
cdehoru:   crouched
cdehorw:   cowherd, chowder
cdehotu:   touched
cdehouv:   vouched
cdehpry:   cyphered
cdehrtw:   wretched
cdeijno:   conjoined
cdeijnt:   injected
cdeijor:   rejoiced
cdeikln:   clinked
cdeiklp:   pickled
cdeiklt:   tickled
cdeiknp:   picnicked
cdeikpr:   pricked
cdeikpt:   picketed
cdeikrt:   tricked
cdeikrw:   wickeder
cdeilmo:   melodic, domiciled, domicile
cdeilno:   indolence
cdeilnp:   penciled
cdeilnr:   reclined, encircled
cdeilnu:   uninclined, nuclide, included, include
cdeilop:   policed
cdeilor:   recoiled, crocodile
cdeilot:   delicto
cdeilou:   celluloid
cdeiloy:   docilely
cdeilpr:   crippled
cdeilpu:   pellucid
cdeilrt:   dielectric, derelict, deciliter
cdeilru:   ridiculed, ridicule, cuddlier
cdeiltu:   ductile
cdeilvz:   civilized
cdeimno:   incommoded, incommode, demonic, comedienne
cdeimnt:   indictment
cdeimnu:   decennium
cdeimor:   mediocre, dormice
cdeimot:   committed
cdeimou:   duodecimo
cdeimox:   commixed
cdeimpr:   crimped
cdeimrt:   decimeter
cdeimrv:   vermicide
cdeimrz:   mercerized
cdeinor:   endocrine
